postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2585EG,31,,,"Bankastraat 31, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 31,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-93
2511ED,8,,,"Korte Poten 8, 2511ED 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 8,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-8
2511ED,20,,,"Korte Poten 20, 2511ED 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 20,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-20-0
2514LL,40,,,"Frederikstraat 40, 2514LL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Frederikstraat 40,http://www.monumentenzorgdenhaag.nl/monumenten/frederikstraat-40
2513BH,5,,,"Molenstraat 5, 2513BH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Molenstraat 5,http://www.monumentenzorgdenhaag.nl/monumenten/molenstraat-5
2585EE,13,,,"Bankastraat 13, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 13,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-84
2511CH,1,A,,"Fluwelen Burgwal 1A-1, 2511CH 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 63/Fluwelen Burgwal 1A,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-63-fluwelen-burgwal-1a
2585EE,21,,,"Bankastraat 21, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 21,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-88
2511AX,28,,,"Schoolstraat 28, 2511AX 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister van Schoolstraat 28,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-28
2513AD,23,,,"Plaats 23, 2513AD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Plaats 21/23,http://www.monumentenzorgdenhaag.nl/monumenten/plaats-21-en-23
2512HE,66,A,,"Westeinde 66A, 2512HE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Westeinde 66/66a,http://www.monumentenzorgdenhaag.nl/monumenten/westeinde-66-en-66a
2511AS,50,,,"Venestraat 50, 2511AS 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Venestraat 50,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-50
2511ED,6,,,"Korte Poten 6, 2511ED 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 6,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-6
2511BP,263,,,"Spui 263, 2511BP 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijke monumentenregister: Spui 253,255,263",http://www.monumentenzorgdenhaag.nl/monumenten/spui-253-255-263
2514AH,74,,,"Koninginnegracht 74, 2514AH 's-Gravenhage",'s-Gravenhage,Plaatsing op de gemeentelijke monumentenlijst van het monument Koninginnegracht 74,
2515LR,118,,,"Groenewegje 118, 2515LR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Groenewegje 118,http://www.monumentenzorgdenhaag.nl/monumenten/groenewegje-118
2514CN,42,,,"Denneweg 42, 2514CN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Denneweg 36,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-34-tm-42
2586BL,8,,,"Gevers Deynootweg 8, 2586BL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Gevers Deynootweg 6,http://www.monumentenzorgdenhaag.nl/monumenten/gevers-deynootweg-6-en-8
2512BE,29,,,"Stille Veerkade 29, 2512BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Stille Veerkade 29,http://www.monumentenzorgdenhaag.nl/monumenten/stille-veerkade-29
2514GJ,42,A,,"Noordeinde 42A, 2514GJ 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Noordeinde 42/42a,http://www.monumentenzorgdenhaag.nl/monumenten/noordeinde-42-en-42a
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
